Primary Street,1st Cross Street,2nd Cross Street,Co1,Co2,2011,2012,2013,2014,2015
UNIVERSITY AVE,30TH ST,32ND ST,"(32.7484628, -117.1300905)","(32.7484628, -117.1300905)",21300,21600,21600,21600,20200
UNIVERSITY AVE,32ND ST,INTERSTATE 805,"(32.7485022, -117.1250179)","(32.7485022, -117.1250179)",22700,22700,22700,24300,24300
UNIVERSITY AVE,INTERSTATE 805,SWIFT AVE,"(32.74818, -117.1210993)","(32.74818, -117.1210993)",24700,25700,24600,24600,24800
UNIVERSITY AVE,SWIFT AVE,35TH ST,"(32.7497713, -117.1192948)","(32.7497713, -117.1192948)",14300,14300,14300,15800,15800
UNIVERSITY AVE,35TH ST,40TH ST,"(32.7497616, -117.1180585)","(32.7497616, -117.1180585)",17400,17400,17400,15300,16800
UNIVERSITY AVE,40TH ST,43RD ST,"(32.7496291, -117.1093174)","(32.7496291, -117.1093174)",26300,24500,22700,22700,25100
UNIVERSITY AVE,43RD ST,FAIRMOUNT AVE,"(32.7496369, -117.1020102)","(32.7496369, -117.1020102)",23600,23600,22200,22900,22900
UNIVERSITY AVE,FAIRMOUNT AVE,EUCLID AVE,"(32.7496281, -117.1009186)","(32.7496281, -117.1009186)",21100,20200,21300,21300,20900
UNIVERSITY AVE,EUCLID AVE,54TH ST,"(32.7495499, -117.0923034)","(32.7495499, -117.0923034)",19800,19600,20300,21200,20000
UNIVERSITY AVE,54TH ST,CHOLLAS PKWY,"(32.7487286, -117.0793715)","(32.7487286, -117.0793715)",22600,21000,21000,21000,22700
UNIVERSITY AVE,CHOLLAS PKWY,COLLEGE AVE,"(32.7485853, -117.0732512)","(32.7485853, -117.0732512)",23500,23600,26200,26200,25600
UNIVERSITY AVE,COLLEGE AVE,ARAGON DR,"(32.7527876, -117.064491)","(32.7527876, -117.064491)",15900,15900,14800,19500,19500
UNIVERSITY AVE,ARAGON DR,69TH ST,"(32.7553265, -117.0547601)","(32.7553265, -117.0547601)",14800,14400,14400,14400,14400
UPAS ST,ALABAMA ST,TEXAS ST,"(32.7410152, -117.1422637)","(32.7410152, -117.1422637)",6000,6000,6000,5600,5600
UPAS ST,TEXAS ST,PERSHING DR,"(32.7409893, -117.1389901)","(32.7409893, -117.1389901)",6700,6700,6700,7000,7000
UPAS ST,PERSHING DR,UTAH ST,"(32.7409579, -117.1337293)","(32.7409579, -117.1337293)",9900,9900,10500,10500,10500
UPAS ST,UTAH ST,30TH ST (W),"(32.7411061, -117.132815)","(32.7411061, -117.132815)",9100,9100,9600,9600,9600
UPAS ST,30TH ST (W),30TH ST (E),"(32.741102, -117.1301075)","(32.741102, -117.1301075)",12800,12600,12600,12600,14200
UPAS ST,30TH ST (E),32ND ST,"(32.741102, -117.1301075)","(32.741102, -117.1301075)",4400,4400,4300,4300,4300
UPAS ST,32ND ST,BOUNDARY ST,"(32.7410259, -117.1250136)","(32.7410259, -117.1250136)",2600,2600,2600,2600,2600
UTAH ST,ADAMS AVE,EL CAJON BLVD,"(32.7628788, -117.1326802)","(32.7628788, -117.1326802)",2400,2400,2400,3000,3000
UTAH ST,EL CAJON BLVD,HOWARD AVE,"(32.7553961, -117.1326561)","(32.7553961, -117.1326561)",4100,4100,3400,3400,3400
UTAH ST,HOWARD AVE,LINCOLN AVE,"(32.7540689, -117.13265)","(32.7540689, -117.13265)",2400,2400,2400,2400,2400
UTAH ST,LINCOLN AVE,UNIVERSITY AVE,"(32.7503368, -117.1326499)","(32.7503368, -117.1326499)",2300,2300,2300,3100,3100
UTAH ST,UNIVERSITY AVE,NORTH PARK WAY,"(32.7484529, -117.132801)","(32.7484529, -117.132801)",4100,4100,4100,4100,5300
UTAH ST,NORTH PARK WAY,UPAS ST,"(32.7473509, -117.1328013)","(32.7473509, -117.1328013)",2500,2500,1900,1900,1900
VALENCIA PKWY (N),IMPERIAL AVE,LATIMER ST,"(32.7085519, -117.0731299)","(32.7085519, -117.0731299)",1400,1400,1400,1400,1400
VALENCIA PKWY (N),LATIMER ST,SKYLINE DR,"(32.7027478, -117.0697305)","(32.7027478, -117.0697305)",7600,7600,7400,7400,7400
VALENCIA PKWY (N),SKYLINE DR,PARKMEAD CT,"(32.7014469, -117.0695709)","(32.7014469, -117.0695709)",4200,4200,4200,4200,4200
VALENCIA PKWY (N),PARKMEAD CT,DIVISION ST,"(32.699744, -117.069931)","(32.699744, -117.069931)",5300,5300,4600,4600,4600
VALETA ST,W PT LOMA BLVD,FAMOSA BLVD,"(32.753132, -117.233609)","(32.753132, -117.233609)",2500,2500,2500,2500,2500
VALETA ST,FAMOSA BLVD,WORDEN ST,"(32.7475453, -117.2293716)","(32.7475453, -117.2293716)",4800,4800,4800,4800,4800
VALLEY CENTRE DR,EL CAMINO REAL,CARMEL CREEK RD,"(32.9360404, -117.2378993)","(32.9360404, -117.2378993)",10100,10100,10100,10100,11600
VALLEY RD,SWEETWATER RD (SD),REO DR (W),"(32.6604895, -117.070184)","(32.6604895, -117.070184)",7900,7900,7300,7300,7300
VANDEVER AVE,RIVERDALE ST,MISSION GORGE RD,"(32.787706, -117.0996155)","(32.787706, -117.0996155)",4700,4700,4700,4200,4200
VANDEVER AVE,MISSION GORGE RD,DECENA DR,"(32.7876923, -117.0977291)","(32.7876923, -117.0977291)",4300,4300,4300,4300,4300
VANDEVER AVE,DECENA DR,CRAWFORD ST,"(32.78769, -117.096761)","(32.78769, -117.096761)",5400,5400,5400,1400,1400
VESTA ST,MAIN ST,INTERSTATE 5,"(32.685497, -117.115356)","(32.685497, -117.115356)",4200,4000,4000,4000,4800
VESTA ST,INTERSTATE 5,DELTA ST/ACACIA ST,"(32.6286637, -117.0839934)","(32.6286637, -117.0839934)",4600,3800,3800,3800,4700
VIA ALICANTE,GILMAN DR,VIA MALLORCA,"(32.862256, -117.2363411)","(32.862256, -117.2363411)",5400,5400,5400,5500,5500
VIA ALICANTE,VIA MALLORCA,VIA SONOMA,"(32.8609976, -117.2335557)","(32.8609976, -117.2335557)",2700,2700,2400,2400,2400
VIA CAPRI,HIDDEN VALLEY RD,LA JOLLA SCENIC DR (S),"(32.8449579, -117.2489419)","(32.8449579, -117.2489419)",12600,12600,12600,12600,12600
VIA DE LA AMISTAD,PASEO DE LAS AMERICAS,ENRICO FERMI DR,"(32.5529041, -116.9359024)","(32.5529041, -116.9359024)",2100,2100,2100,2100,2100
VIA DE LA VALLE,JIMMY DURANTE BLVD,INTERSTATE 5,"(32.9793906, -117.2568877)","(32.9793906, -117.2568877)",41500,41500,41500,41500,41500
VIA DE LA VALLE,INTERSTATE 5,FLOWER HILL ML,"(32.9795554, -117.2513126)","(32.9795554, -117.2513126)",38000,38000,32700,32700,34500
VIA DE LA VALLE,FLOWER HILL ML,SAN ANDRES DR,"(32.98095929999999, -117.2510773)","(32.98095929999999, -117.2510773)",25000,25000,31500,31500,31500
VIA DE LA VALLE,SAN ANDRES DR,EL CAMINO REAL (W),"(32.980971, -117.2483354)","(32.980971, -117.2483354)",13100,20000,20000,20000,22400
VIA DE LA VALLE,EL CAMINO REAL (W),EL CAMINO REAL (E),"(32.9827049, -117.2305015)","(32.9827049, -117.2305015)",22500,16300,16300,16300,15300
VIA DE SAN YSIDRO,SAN YSIDRO BLVD,INTERSTATE 5,"(32.5524711, -117.0449281)","(32.5524711, -117.0449281)",18700,18700,18700,18700,22500
VIA DEL CAMPO,RANCHO BERNARDO RD,BERNARDO DR,"(33.0222397, -117.0955614)","(33.0222397, -117.0955614)",4700,4700,4700,4700,4700
VIA LAS CUMBRES,FRIARS RD,LINDA VISTA RD,"(32.7662296, -117.1836543)","(32.7662296, -117.1836543)",9500,9200,9200,9200,9200
VIA MALLORCA,VILLA LA JOLLA DR,VIA ALICANTE,"(32.8650653, -117.2342498)","(32.8650653, -117.2342498)",5500,5200,5200,5200,4300
VIA MALLORCA,VIA ALICANTE,CAMINITO AMECA,"(32.8609976, -117.2335557)","(32.8609976, -117.2335557)",4300,4300,3900,3900,3900
VIA VALARTA,ANTIGUA BLVD,CLAIREMONT MESA DR,"(32.8371252, -117.0856629)","(32.8371252, -117.0856629)",3900,3900,3900,3900,3300
VIEWRIDGE AVE,BALBOA AVE,RUFFIN CT,"(32.8222396, -117.1248803)","(32.8222396, -117.1248803)",5100,5100,5100,4600,4300
VILLA LA JOLLA DR,LA JOLLA VILLAGE DR,NOBEL DR,"(32.8717519, -117.2337718)","(32.8717519, -117.2337718)",26500,26500,26500,27300,24500
VILLA LA JOLLA DR,NOBEL DR,VIA MALLORCA,"(32.8676267, -117.2333182)","(32.8676267, -117.2333182)",10000,10000,10000,14400,14400
VILLA LA JOLLA DR,VIA MALLORCA,GILMAN DR,"(32.8650653, -117.2342498)","(32.8650653, -117.2342498)",6100,6100,11900,11900,6600
VISTA GRANDE DR/RACINE RD,CELIA VISTA DR,COLLEGE AVE,"(32.8341709, -117.1083486)","(32.8341709, -117.1083486)",4500,2400,2400,2400,2400
VISTA HILL AVE,HEALTH CENTER DR,MEADOWLARK DR,"(32.7949259, -117.1574701)","(32.7949259, -117.1574701)",8000,8000,8000,8000,8000
VISTA SORRENTO PKWY,CALLE MAR DE MARIPOSA,SORRENTO VALLEY BLVD,"(32.9132728, -117.2281029)","(32.9132728, -117.2281029)",16200,16200,16200,16200,16200
VISTA SORRENTO PKWY,SORRENTO VALLEY BLVD,MIRA MESA BLVD,"(32.9024762, -117.2213975)","(32.9024762, -117.2213975)",18500,17300,13600,13600,11800
VOLTAIRE ST,WEST POINT LOMA BLVD,BACON ST,"(32.7536986, -117.249333)","(32.7536986, -117.249333)",3600,3600,3600,3600,3600
VOLTAIRE ST,BACON ST,CABLE ST,"(32.75204420000001, -117.2466218)","(32.75204420000001, -117.2466218)",5200,5200,5200,5200,5200
VOLTAIRE ST,CABLE ST,SUNSET CLIFFS BLVD,"(32.7509845, -117.2449169)","(32.7509845, -117.2449169)",7100,6900,6900,6900,5400
VOLTAIRE ST,SUNSET CLIFFS BLVD,CATALINA BLVD,"(32.7499155, -117.2431725)","(32.7499155, -117.2431725)",8100,8100,8600,8600,8600
VOLTAIRE ST,CATALINA BLVD,NIMITZ BLVD,"(32.7437416, -117.2348145)","(32.7437416, -117.2348145)",11100,10800,10800,10800,10800
VOLTAIRE ST,NIMITZ BLVD,WORDEN ST,"(32.7346629, -117.2207325)","(32.7346629, -117.2207325)",9700,9700,9700,9700,9700
VOLTAIRE ST,WORDEN ST,CHATSWORTH BLVD,"(32.7409322, -117.230309)","(32.7409322, -117.230309)",8600,8600,8600,8600,8600
WABASH BLVD,INTERSTATE 5,MAIN ST,"(32.6934093, -117.1202695)","(32.6934093, -117.1202695)",10000,10000,10000,10000,10000
WABASH BLVD,MAIN ST,32ND ST,"(32.6900525, -117.1189296)","(32.6900525, -117.1189296)",6400,6400,6400,11400,11400
WANDEMERE DR,RIDGE MANOR AVE,PARK RIDGE BLVD,"(32.7934847, -117.0578992)","(32.7934847, -117.0578992)",1900,1900,1900,1900,3100
WANDEMERE DR,PARK RIDGE BLVD,GOLFCREST DR,"(32.7963633, -117.0491307)","(32.7963633, -117.0491307)",1500,1500,1500,1500,1500
WARING RD,NAVAJO RD,PRINCESS VIEW DR,"(32.7937207, -117.0675461)","(32.7937207, -117.0675461)",16300,16300,15900,15900,15900
WARING RD,PRINCESS VIEW DR,ZION AVE,"(32.7973458, -117.0760124)","(32.7973458, -117.0760124)",16100,16100,16100,16100,16100
WARING RD,ZION AVE,ORCUTT AVE,"(32.7927775, -117.080675)","(32.7927775, -117.080675)",17400,17400,16800,16800,16800
WARING RD,ORCUTT AVE,INTERSTATE 8,"(32.7907425, -117.0827301)","(32.7907425, -117.0827301)",18100,18100,18100,18100,18100
WASHINGTON ST,PACIFIC HWY,HANCOCK ST,"(32.7188087, -117.1709517)","(32.7188087, -117.1709517)",15800,15600,15600,15700,15700
WASHINGTON ST,HANCOCK ST,INTERSTATE 5,"(32.7419638, -117.1832001)","(32.7419638, -117.1832001)",23700,23700,23700,25100,25100
WASHINGTON ST,INTERSTATE 5,SAN DIEGO AVE,"(32.7225886, -117.1612093)","(32.7225886, -117.1612093)",23700,23700,23700,23700,23700
WASHINGTON ST,SAN DIEGO AVE,UNIVERSITY AVE,"(32.7427549, -117.1818845)","(32.7427549, -117.1818845)",30000,28700,28700,28700,29200
WASHINGTON ST,UNIVERSITY AVE,GOLDFINCH ST,"(32.7489182, -117.17378)","(32.7489182, -117.17378)",21900,21900,21900,19600,19600
WASHINGTON ST,GOLDFINCH ST,FRONT ST,"(32.7497883, -117.1713933)","(32.7497883, -117.1713933)",23600,23300,23300,23300,20100
WASHINGTON ST,FRONT ST,1ST AVE,"(32.7499548, -117.1650448)","(32.7499548, -117.1650448)",21300,23700,23700,23700,25300
WASHINGTON ST,1ST AVE,4TH AVE,"(32.7498557, -117.1639174)","(32.7498557, -117.1639174)",25700,25700,20000,20000,20000
WASHINGTON ST,4TH AVE,5TH AVE,"(32.7499795, -117.1616401)","(32.7499795, -117.1616401)",7200,7200,7200,34600,34600
WASHINGTON ST,5TH AVE,6TH AVE,"(32.7498918, -117.1604573)","(32.7498918, -117.1604573)",34900,34900,34900,32800,32800
WASHINGTON ST,ROUTE 163,LINCOLN AVE,"(32.7514492, -117.1549847)","(32.7514492, -117.1549847)",40900,36900,36900,36900,30800
WASHINGTON ST,LINCOLN AVE,CLEVELAND AVE,"(32.7517011, -117.1501915)","(32.7517011, -117.1501915)",28000,29100,29100,29100,28400
WASHINGTON ST,CLEVELAND AVE,NORMAL ST,"(32.7520664, -117.14927)","(32.7520664, -117.14927)",30800,26900,26900,27300,28100
WEST BERNARDO DR,INTERSTATE 15,AGUAMIEL RD,"(33.0552471, -117.0729786)","(33.0552471, -117.0729786)",6300,6300,6300,6300,6300
WEST BERNARDO DR,AGUAMIEL RD,BERNARDO CENTER DR (N),"(33.040953, -117.0779244)","(33.040953, -117.0779244)",4900,4900,6800,6800,6800
WEST BERNARDO DR,BERNARDO CENTER DR (N),RANCHO BERNARDO RD,"(33.00809, -117.0886835)","(33.00809, -117.0886835)",17300,17300,17700,17700,17700
WEST BERNARDO DR,RANCHO BERNARDO RD,BERNARDO CENTER DR (S),"(33.0237395, -117.0820716)","(33.0237395, -117.0820716)",11400,11400,16300,16300,16300
WEST HILLS PKWY (SANTEE),MAST BLVD,CARLTON OAKS DR,"(32.8458092, -117.0238404)","(32.8458092, -117.0238404)",10500,9200,9200,9200,10700
WEST HILLS PKWY (SANTEE),CARLTON OAKS DR,MISSION GORGE RD,"(32.8421888, -117.023396)","(32.8421888, -117.023396)",8900,8100,8100,8100,8300
WEST MISSION BAY DR,MISSION BLVD,QUIVIRA RD,"(32.7719914, -117.2511207)","(32.7719914, -117.2511207)",18200,18200,18200,24000,24000
WEST MISSION BAY DR,QUIVIRA RD,INGRAHAM ST,"(32.7654119, -117.2379877)","(32.7654119, -117.2379877)",36100,35100,35100,35100,33000
WEST MISSION BAY DR,INGRAHAM ST,SEA WORLD DR,"(32.7634431, -117.2322249)","(32.7634431, -117.2322249)",73300,59100,59100,59100,53900
WEST MISSION BAY DR,SEA WORLD DR,INTERSTATE 8,"(32.7615533, -117.2320493)","(32.7615533, -117.2320493)",60400,58600,58600,34500,42800
WEST MORENA BLVD,MORENA BLVD (S),TECOLOTE RD,"(32.7758396, -117.2071986)","(32.7758396, -117.2071986)",12800,12800,12800,11500,12500
WEST MORENA BLVD,TECOLOTE RD,MORENA BLVD (N),"(32.7726124, -117.2027434)","(32.7726124, -117.2027434)",13400,13400,13400,14400,14400
WEST MUIRLANDS DR,FAY ST,NAUTILUS ST,"(32.8350795, -117.2720389)","(32.8350795, -117.2720389)",5300,5200,5200,5200,5300
WEST PARK AVE,SAN YSIDRO BLVD,BEYER BLVD,"(32.5523605, -117.0445285)","(32.5523605, -117.0445285)",4200,4200,4200,4200,4200
WEST POINT LOMA BLVD,ABBOTT ST,BACON ST,"(32.7541946, -117.2473809)","(32.7541946, -117.2473809)",6700,6400,6400,6400,5800
WEST POINT LOMA BLVD,BACON ST,CABLE ST,"(32.7533332, -117.2455319)","(32.7533332, -117.2455319)",12900,12900,12900,12900,12900
WEST POINT LOMA BLVD,CABLE ST,SUNSET CLIFFS BLVD,"(32.7516617, -117.2443302)","(32.7516617, -117.2443302)",23000,23000,23000,21000,21000
WEST POINT LOMA BLVD,SUNSET CLIFFS BLVD,NIMITZ BLVD,"(32.7509836, -117.2423261)","(32.7509836, -117.2423261)",14000,14000,14000,14200,14200
WEST POINT LOMA BLVD,NIMITZ BLVD,ADRIAN ST,"(32.7512328, -117.2361134)","(32.7512328, -117.2361134)",15800,15800,15800,14700,14700
WEST POINT LOMA BLVD,ADRIAN ST,MIDWAY DR,"(32.7528098, -117.2265307)","(32.7528098, -117.2265307)",24100,24100,24100,24100,24100
WESTMORE RD,MONTONGO ST,CAMINO RUIZ,"(32.9173134, -117.152263)","(32.9173134, -117.152263)",3400,3400,3400,3400,3400
WESTMORE RD,CAMINO RUIZ,WESTONHILL DR,"(32.9178215, -117.14402)","(32.9178215, -117.14402)",6500,6500,6500,6500,7800
WESTMORE RD,WESTONHILL RD,MIRA MESA BLVD,"(32.9164977, -117.135678)","(32.9164977, -117.135678)",1900,1900,1900,1900,1900
WESTONHILL DR,MENKAR RD,AQUARIUS DR,"(32.934006, -117.135696)","(32.934006, -117.135696)",2800,2800,2400,2400,2400
WESTONHILL DR,AQUARIUS DR,CAPRICORN WY,"(32.9299408, -117.1356187)","(32.9299408, -117.1356187)",4400,4800,3800,3800,3800
WESTONHILL DR,CAPRICORN WY,MIRA MESA BLVD,"(32.9242007, -117.1356667)","(32.9242007, -117.1356667)",7700,7700,8500,8500,11200
WESTONHILL DR,MIRA MESA BLVD,GOLD COAST DR,"(32.9127757, -117.1356365)","(32.9127757, -117.1356365)",4300,4900,4900,4900,4900
WESTONHILL DR,GOLD COAST DR,JADE COAST DR,"(32.9057327, -117.135533)","(32.9057327, -117.135533)",1900,1900,1800,1800,1800
WESTVIEW PKWY,BLACK MOUNTAIN RD,CAPRICORN WY,"(32.9332001, -117.1259143)","(32.9332001, -117.1259143)",7600,7600,7900,7900,7900
WESTVIEW PKWY,CAPRICORN WY,GALVIN AVE,"(32.9243294, -117.1192417)","(32.9243294, -117.1192417)",13100,13100,16500,16500,16500
WESTVIEW PKWY,GALVIN AVE,MIRA MESA BLVD,"(32.9201139, -117.119941)","(32.9201139, -117.119941)",20500,20500,20500,24300,24400
WIGHTMAN ST,SWIFT AVE,35TH ST,"(32.7478998, -117.1193188)","(32.7478998, -117.1193188)",5400,5400,4800,4800,4800
WIGHTMAN ST,35TH ST,40TH ST,"(32.7478903, -117.1180816)","(32.7478903, -117.1180816)",4700,4700,7200,7200,7200
WIGHTMAN ST,40TH ST,42ND ST,"(32.7478249, -117.1094993)","(32.7478249, -117.1094993)",9700,9700,9700,9700,9700
WIGHTMAN ST,42ND ST,43RD ST,"(32.7477792, -117.104495)","(32.7477792, -117.104495)",5100,5100,5100,5100,5100
WIGHTMAN ST (W/B 1-WAY),43RD ST,FAIRMOUNT AVE,"(32.7478857, -117.1020656)","(32.7478857, -117.1020656)",5600,5600,3000,3000,3000
WIGHTMAN ST,FAIRMOUNT AVE,EUCLID AVE,"(32.7478964, -117.1009288)","(32.7478964, -117.1009288)",5100,5100,5400,5400,5400
WILLOW CREEK RD,BUSINESS PARK AVE,AVIARY DR,"(32.9017859, -117.111693)","(32.9017859, -117.111693)",5000,5000,4800,4800,4800
WILLOW CREEK RD,AVIARY DR,POMERADO RD,"(32.8984946, -117.1047403)","(32.8984946, -117.1047403)",8200,8200,6400,6400,6400
WILLOW RD,CALLE PRIMERA,CAMINO DE LA PLAZA,"(32.54954560000001, -117.0423665)","(32.54954560000001, -117.0423665)",15500,15500,10100,10100,10100
WILLOW RD,CAMINO DE LA PLAZA,TIA JUANA ST,"(32.5454479, -117.0426214)","(32.5454479, -117.0426214)",5400,5400,5400,5400,5400
WINDING CREEK DR,JACKSON DR,BELL BLUFF DR,"(32.81369, -117.0542385)","(32.81369, -117.0542385)",2200,2200,2200,2200,2200
WITHERBY ST,HANCOCK ST,PACIFIC HWY,"(32.7462497, -117.1920205)","(32.7462497, -117.1920205)",7400,7400,6600,6600,6600
WOODMAN ST,IMPERIAL AVE,MARGARITTA RD,"(32.7109854, -117.0548974)","(32.7109854, -117.0548974)",8500,8500,7300,7300,7300
WOODMAN ST,MARGARITTA RD,SKYLINE DR,"(32.7027074, -117.054668)","(32.7027074, -117.054668)",7300,7300,7300,7300,7100
WOODMAN ST,SKYLINE DR,ARROYO SECO WY,"(32.7012756, -117.0546909)","(32.7012756, -117.0546909)",9300,9300,9300,9800,9800
WOODMAN ST,ARROYO SECO WY,PARADISE VALLEY RD,"(32.6983353, -117.0537599)","(32.6983353, -117.0537599)",17100,17100,17100,16500,16500
WOODMAN ST,PARADISE VALLEY RD,ALTA VIEW RD,"(32.6890466, -117.0464344)","(32.6890466, -117.0464344)",17400,17300,17200,17200,17100
WOODMAN ST,ALTA VIEW DR,ROUTE 54,"(32.6758596, -117.0403667)","(32.6758596, -117.0403667)",22900,23600,23600,22700,25600
WORDEN ST,BOB ST,VOLTAIRE ST,"(32.7498466, -117.224629)","(32.7498466, -117.224629)",4800,4800,4700,4700,4700
WORLD TRADE DR,CAMINO DEL NORTE,CONFERENCE WAY,"(32.9878769, -117.0671846)","(32.9878769, -117.0671846)",9500,9500,8200,8200,8200
WORLD TRADE DR,CONFERENCE WAY,HIGHLAND RANCH RD,"(32.9857803, -117.0738745)","(32.9857803, -117.0738745)",9100,9100,8200,8200,8200
WORLD TRADE DR,HIGHLAND RANCH RD,STONEY PEAK DR,"(32.98218, -117.074146)","(32.98218, -117.074146)",5800,5800,5200,5200,5200
YERBA SANTA DR,MONTEZUMA RD,PALO VERDE TER,"(32.7707475, -117.0844344)","(32.7707475, -117.0844344)",2300,2300,2300,2300,2300
YSABEL CREEK RD,ROUTE 78,BANDY CANYON RD,"(33.0858329, -116.9896311)","(33.0858329, -116.9896311)",600,600,600,600,600
ZION AVE,MISSION GORGE RD,ARCHWOOD AVE,"(32.7929686, -117.0974575)","(32.7929686, -117.0974575)",11600,11600,11600,12700,12700
ZION AVE,ARCHWOOD AVE,CRAWFORD ST,"(32.79296470000001, -117.094666)","(32.79296470000001, -117.094666)",10900,10900,10900,10900,10900
ZION AVE,CRAWFORD ST,WARING RD,"(32.7929654, -117.0938318)","(32.7929654, -117.0938318)",11400,11400,11700,11700,11700
ZOO PL,PARK BLVD,FLORIDA DR,"(32.7352057, -117.1457371)","(32.7352057, -117.1457371)",5600,5600,5600,4400,4400
1ST AVE,ARBOR DR,WASHINGTON ST,"(32.7537898, -117.1641572)","(32.7537898, -117.1641572)",5200,5200,5200,4800,4800
1ST AVE,WASHINGTON ST,UNIVERSITY AVE,"(32.7498557, -117.1639174)","(32.7498557, -117.1639174)",5600,5600,6000,6000,6000
1ST AVE,UNIVERSITY AVE,ROBINSON AVE,"(32.7482407, -117.163909)","(32.7482407, -117.163909)",11000,11000,11000,7600,7600
1ST AVE,ROBINSON AVE,PENNSYLVANIA AVE,"(32.7469213, -117.1638839)","(32.7469213, -117.1638839)",7500,7500,7500,8100,8100
1ST AVE,PENNSYLVANIA AVE,LAUREL ST,"(32.7451137, -117.1638688)","(32.7451137, -117.1638688)",4900,5300,5300,5400,4500
1ST AVE,LAUREL ST,HAWTHORN ST,"(32.7313787, -117.1639415)","(32.7313787, -117.1639415)",7300,7300,7300,4400,4400
1ST AVE,HAWTHORN ST,GRAPE ST,"(32.7271898, -117.1639005)","(32.7271898, -117.1639005)",3800,3800,3800,3600,3600
1ST AVE,GRAPE ST,INTERSTATE 5,"(32.7261417, -117.1638982)","(32.7261417, -117.1638982)",3300,3300,3300,3400,3500
1ST AVE,INTERSTATE 5,ASH ST,"(32.7226725, -117.1637851)","(32.7226725, -117.1637851)",22300,18700,16100,16100,24500
1ST AVE,ASH ST,A ST,"(32.7198842, -117.1638503)","(32.7198842, -117.1638503)",20100,20100,19600,19600,19600
1ST AVE,A ST,BROADWAY,"(32.7188324, -117.1638747)","(32.7188324, -117.1638747)",13600,13600,13600,13600,14000
1ST AVE,BROADWAY,G ST,"(32.7157647, -117.1638054)","(32.7157647, -117.1638054)",10400,11100,11100,11300,10800
1ST AVE,G ST,MARKET ST,"(32.7125262, -117.1637864)","(32.7125262, -117.1637864)",10400,10400,10400,10400,10400
1ST AVE,MARKET ST,HARBOR DR,"(32.7115285, -117.1637652)","(32.7115285, -117.1637652)",5700,5700,5700,5100,3400
2ND AVE,CEDAR ST,A ST,"(32.7219318, -117.1629511)","(32.7219318, -117.1629511)",4200,3700,4300,2800,2900
3RD AVE,WASHINGTON ST,UNIVERSITY AVE,"(32.7499705, -117.1627768)","(32.7499705, -117.1627768)",3200,3200,3200,2400,3200
3RD AVE,HAWTHORN ST,GRAPE ST,"(32.7271931, -117.162069)","(32.7271931, -117.162069)",1700,1700,1700,1600,1600
3RD AVE,GRAPE ST,ELM ST,"(32.7261418, -117.1620627)","(32.7261418, -117.1620627)",3000,3000,3000,3000,3000
3RD AVE,ELM ST,ASH ST,"(32.7240618, -117.1620495)","(32.7240618, -117.1620495)",2400,2400,2400,2200,2200
3RD AVE,ASH ST,A ST,"(32.7198929, -117.1620044)","(32.7198929, -117.1620044)",4500,4500,4300,2000,2000
3RD AVE,A ST,B ST,"(32.718829, -117.1620098)","(32.718829, -117.1620098)",6000,6000,6000,5800,5800
3RD AVE,B ST,C ST,"(32.7177714, -117.1619939)","(32.7177714, -117.1619939)",4500,4500,4500,3600,3600
3RD AVE,C ST,BROADWAY,"(32.6516959, -117.0837894)","(32.6516959, -117.0837894)",4200,4200,4200,3800,3800
4TH AVE,LEWIS ST,WASHINGTON ST,"(32.7518758, -117.1616778)","(32.7518758, -117.1616778)",12400,12400,12400,10500,10500
4TH AVE,WASHINGTON ST,UNIVERSITY AVE,"(32.7499795, -117.1616401)","(32.7499795, -117.1616401)",8600,8300,8300,8300,5900
4TH AVE,UNIVERSITY AVE,ROBINSON AVE,"(32.7482533, -117.1616255)","(32.7482533, -117.1616255)",10600,10600,9800,8300,8300
4TH AVE,ROBINSON AVE,LAUREL ST,"(32.74695270000001, -117.1615865)","(32.74695270000001, -117.1615865)",6700,6700,6700,6600,6600
4TH AVE,LAUREL ST,GRAPE ST,"(32.7313886, -117.161215)","(32.7313886, -117.161215)",7900,7900,7900,6900,7300
4TH AVE,GRAPE ST,DATE(I-5 RAMP),"(32.7261486, -117.1611609)","(32.7261486, -117.1611609)",13000,13000,13000,9100,9600
4TH AVE,CEDAR ST,ASH ST,"(32.7219749, -117.1611169)","(32.7219749, -117.1611169)",13800,13800,13000,13000,10500
4TH AVE,ASH ST,A ST,"(32.7198909, -117.1611006)","(32.7198909, -117.1611006)",11000,11000,11000,7800,7800
